NAME,MEDIA_TYPE,SOURCE,PUBLICATION_DATE,TAGS,MORE_INFO
Moving Beyond IP Authentication: The New Fronteir in Single Sign On,presentation,https://www.dropbox.com/sh/r8yfxwl7h602au6/AABGaKVbMbEg7AnmijmTOApda?dl=0&preview=S080+%E2%80%93+Moving+Beyond+IP+Authentication+The+New+Frontier+in+Single+Sign-On.pptx,3-11-2018,EBSCO; Open Athens; Laredo Community College; Authentication; Information Technology; E-Resource Management; Analytics,
The Messy Reality of Algorithmic Culture,presentation,https://events7.mediasite.com/Mediasite/Play/6f028b3208c94ff39d6c7a924670ed7d1d,3-12-2018,Ethics; Big Data,"Data-driven and algorithmic systems increasingly underpin many decision-making systems, shaping where law enforcement are stationed and what news you are shown on social media. The design of these systems is inscribed with organizational and cultural values. Often, these systems depend on the behavior of everyday people, who may not act as expected. Meanwhile, adversarial actors also seek to manipulate the data upon which these systems are built for personal, political, and economic reasons. In this talk, danah will unpack some of the unique cultural challenges presented by ""big data"" and machine learning, raising critical questions about fairness and accountability. She will argue that we need to develop more sophisticated ways of thinking about technology before jumping to hype and fear."
Promoting Effective Research Data Management Practices Through Integration of Digital Research Tools,presentation,https://www.caudit.edu.au/system/files/Media%20library/Resources%20and%20Files/THETA%202017/Mon_1320_Helena%20Lynn%20THETA%202017.pdf,3-13-2018,Research Data; Digital Repositories; Research Management; University of Sydney,"While many researchers acknowledge the importance of engaging with research data management policies and practices, their compliance is often hindered by the lack of user-friendly platforms that meet RDM requirements and/or their specific research needs. Building additional functionality into these platforms, including streamlining the way they interact with additional tools/platforms allows for less time to be invested in curating research data. This improves user experiences and removes one of the barriers to researcher engagement with effective RDM."
Shaping the Future of Academic Libraries: Authentic Learning for the Next Generation,presentation,https://www.caudit.edu.au/system/files/Media%20library/Resources%20and%20Files/THETA%202017/Tue_1340_Jackie%20Edwards%20THETA%202017.pdf,3-14-2018,Faculty Partnerships; University of Technology Sydney; Academic Librarianship; Professional Development; Organizational Development,"The Next Generation Library is changing in the wake of a tertiary education sector trying to adjust for a future skilled workforce that is expected to have a much broader and more flexible set of skills than graduates of just half a generation ago. In this paper, we present a case study which illustrates the onset of a paradigm shift in academic librarianship, disciplinary coursework and integrated learning and teaching. The upcoming challenges are a golden opportunity for evolving the role of academic librarianship, helping universities to shape the degree courses of the future."
Is the Value of the Big Deal in Decline,article,https://scholarlykitchen.sspnet.org/2019/03/07/value-big-deal-leakage/,3-7-2019,Publisher Relations; Open Access; Analytics; Technology; ,"Last week, the University of California system terminated its license with Elsevier. There has been a great deal of attention to California’s efforts to reach a Publish & Read (P&R) agreement. The what-could-have-been of this deal is interesting and important. But I wish to focus today on the what-no-longer-is of scholarly content licensing, focusing on the big deal model of subscription journals bundled together on a single publisher basis for three to five year deals. In the eyes of major libraries in Europe and the US, the value of the big deal has declined. As a result, we are moving into a new period, in which publisher pricing power has declined and the equilibrium price for content and related services is being reset. What is the principal culprit? I will maintain today that we must look in large part to what publishers call “leakage.”"
Finding the Right Training and Career Development Opportunities for Your Organization,article,https://scholarlykitchen.sspnet.org/2019/02/28/finding-the-right-training-and-career-development-opportunities-for-your-organization/,2-28-2018,Professional Development; Organizational Development; Assessment;,"With rising pressures for you and your teams to improve your skills for today’s publishing industry needs, these marketing materials should come as welcome notifications. However, with so many options for obtaining different certifications in Scholarly Publishing, how do you decide what is worthwhile for both your departmental and organizational strategic goals?"
Taking Stock of the Feedback on Plan S Implementation Guidance,article,https://scholarlykitchen.sspnet.org/2019/02/11/with-thousand-of-pages-of-feedback-on-the-plans-s-implementation-guidance-what-themes-emerged-that-might-guide-next-steps/,2-11-2019,Publisher Relations; Open Access; Analytics; Technology; ,"cOALition S members have a large task ahead of themselves to review and engage with the commentary they have received. On the feedback form, the cOAlition stated that “in the spirit of Open Access, all responses received as a part of the feedback on the Guidance on the Implementation of Plan S will be shared in the public domain.” I hope that we will also see some sort of summary report eventually in addition to the full text of the replies."
From Principles to Implementation: cOAlition S Relesaes Implementation Guidance on Plan S,article,https://www.coalition-s.org/implementation-guidance-on-plan-s-now-open-for-public-feedback/,11-27-2018,Publisher Relations; Open Access; Analytics; Technology; ,Guidance on how Plan S is to be implemented was presented by cOAlition S yesterday in London. The guidance serves to clarify the Plan S provisions and describes implementation modalities. It also provides responses to questions and comments arising from online discussions and debates on Plan S.
Bitcoin: A Peer-to-Peer Electronic Cash System,article,https://bitcoin.org/bitcoin.pdf,1-1-2011,Bitcoin; Cryptocurrency; Blockchain; Information Technology; Software Development,"A purely peer-to-peer version of electronic cash would allow online payments to be sent directly from one party to another without going through a financial institution. Digital signatures provide part of the solution, but the main benefits are lost if a trusted third party is still required to prevent double-spending. We propose a solution to the double-spending problem using a peer-to-peer network. The network timestamps transactions by hashing them into an ongoing chain of hash-based proof-of-work, forming a record that cannot be changed without redoing the proof-of-work. The longest chain not only serves as proof of the sequence of events witnessed, but proof that it came from the largest pool of CPU power. As long as a majority of CPU power is controlled by nodes that are not cooperating to attack the network, they'll generate the longest chain and outpace attackers. The network itself requires minimal structure. Messages are broadcast on a best effort basis, and nodes can leave and rejoin the network at will, accepting the longest proof-of-work chain as proof of what happened while they were gone."
Predicting the Role of Library Bookshelves in 2025,article,https://doi.org/10.1016/j.acalib.2017.06.019,06-19-2017,Strategic Planning; Management; ,"University libraries are questioning the added value of open shelves with books. As scientific publications are increasingly available in electronic format, which role do bookshelves have in the future library space? The Utrecht University Library case study invites librarians to fundamentally rethink how they could strengthen the function of open shelves in their library. Based on acquisition and user data, and on interviews with publishers and users, this article suggests that in 2025 bookshelves could play an important role in providing access to those publications which are preferred by users in paper format. However, bookshelves should no longer focus solely on paper publications, but on digital publications too, as most library collections increasingly become hybrid. Moreover, libraries should also think of ways to enhance the inspiring role of bookshelves. Then, the open shelves could have added value within the library space of the future, providing access to a hybrid collection and an inspiring place to study."
Rationality and politics of algorithms. Will the promise of big data survive the dynamics of public decision making?,article,https://doi.org/10.1016/j.giq.2018.10.011,10-15-2018,Data Science; Algorithms ,"Big data promises to transform public decision-making for the better by making it more responsive to actual needs and policy effects. However, much recent work on big data in public decision-making assumes a rational view of decision-making, which has been much criticized in the public administration debate. In this paper, we apply this view, and a more political one, to the context of big data and offer a qualitative study. We question the impact of big data on decision-making, realizing that big data – including its new methods and functions – must inevitably encounter existing political and managerial institutions. By studying two illustrative cases of big data use processes, we explore how these two worlds meet. Specifically, we look at the interaction between data analysts and decision makers. In this we distinguish between a rational view and a political view, and between an information logic and a decision logic. We find that big data provides ample opportunities for both analysts and decision makers to do a better job, but this doesn't necessarily imply better decision-making, because big data also provides opportunities for actors to pursue their own interests. Big data enables both data analysts and decision makers to act as autonomous agents rather than as links in a functional chain. Therefore, big data's impact cannot be interpreted only in terms of its functional promise; it must also be acknowledged as a phenomenon set to impact our policymaking institutions, including their legitimacy."
A Library Publishing Hub at University of Michigan: Interview with Jason Colman,article,https://blog.scholasticahq.com/post/library-publishing-hub-university-of-michigan/,6-4-2017,Open Access; Scholarly Publishing,"What’s the role of university libraries in supporting the dissemination of scholarship? Once focused on being keepers of research, university libraries have begun to transition into the role of research producers as well. In recent years, many have initiated open access (OA) scholarly journal publishing programs that offer a variety of services aimed at either launching and running new journals or supporting existing titles."
"Graphic Novels: Collecting, Cataloging and Outreach in an Academic Library",article,https://doi.org/10.1016/j.acalib.2017.01.011,1-25-2017,Collection Management; Acquisitions; Cataloging,"Most major US universities have graphic novels in their library collections. Titles like Maus (Spiegelman, 1986) and Persepolis (Satrapi, 2004) have become staples in the stacks for their academic relevance and accessible style of delivering information through visually striking art. While some libraries have comprehensive collections and budgets to support them, many do not and thus have a collection that lacks cohesion and scope. The Brandeis University collection fell into that latter category, and we aimed to correct that. But beyond titles that have achieved scholarly notoriety and critical acclaim, like Maus and Persepolis, how does an academic library with little to no comprehensive collection create one and how does it engage students with acquired titles? For us, this began as a personal project. We individually enjoy reading graphic novels and were heartened to see our library already had titles like Fun Home (Bechdel, 2007) and Waltz with Bashir (Folman & Polonsky, 2009) in our collection, but there was no discernable method to how titles were acquired. For example, why Waltz with Bashir, but not Fax from Sarajevo (Kubert, 1998) or The Photographer (Guibert, 2009), which covered similar topics? Further exploration into the process uncovered that our system for acquiring graphic novel titles was on an ad hoc basis. We typically acquired titles as the result of faculty requests for course materials, items we received on our approval plan, or included in past donations. As a cataloging librarian and a social sciences librarian, we were in a unique position to do what librarians do best: bring order to chaos, and put together an organized plan to acquire and publicize the resulting collection so students see it and, more importantly, use it. But where to start?"
"Who support open access publishing? Gender, discipline, seniority and other factors associated with academics’ OA practice",article, https://doi.org/10.1007/s11192-017-2316-z,3-6-2017,Open Access; Scholarly Publishing,"This paper presents the findings from a survey study of UK academics and their publishing behaviour. The aim of this study is to investigate academics’ attitudes towards and practice of open access (OA) publishing. The results are based on a survey study of academics at 12 Russell Group universities, and reflect responses from over 1800 researchers. This study found that whilst most academics support the principle of making knowledge freely available to everyone, the use of OA publishing among UK academics was still limited despite relevant established OA policies. The results suggest that there were differences in the extent of OA practice between different universities, academic disciplines, age and seniorities. Academics’ use in OA publishing was also related to their awareness of OA policy and OA repositories, their attitudes towards the importance of OA publishing and their belief in OA citation advantage. The implications of these findings are relevant to the development of strategies for the implementation of OA policies."
Reframing the Conversation about OER,article,https://www.insidehighered.com/blogs/digital-tweed/reframing-conversation-about-oer,2-20-2019,Open Educational Resources; Open Access; Scholarly Publishing,It's time to move the OER conversation beyond the cost of course materials to focus primarily on the quality of OER course resources.
For the Public Good: Our values in a changing scholarly communication landscape,article,https://blogs.uw.edu/uwbsc/2019/03/12/for-the-public-good-our-values-in-a-changing-scholarly-communication-landscape/,3-12-2019,Publisher Relations; Open Access; Analytics; Technology; University of Washington,"Like many of you, we have been following the negotiations between the University of California (UC) and the giant commercial scholarly publisher, Elsevier. UC’s announcement that they have broken off talks with Elsevierhas sparked a wave of interest and commentary reaching beyond the walls of the academy. In a blog post by our colleagues at Duke and Iowa State University, they called this a movement, “closer to a tipping point in the ongoing struggle to correct asymmetries in the scholarly information ecosystem.”"
Perceptions 2017: An International Survey of Library Automation,article,https://librarytechnology.org/perceptions/2017/,3-17-2018,Library Automation; Discovery; Vendor Relations; Market Research,"This eleventh edition of the International Survey of Library Automation presents the latest data on how libraries perceive the effectiveness of the strategic technology systems upon which they depend for their daily operations and to fulfill the expectations of their patrons. This report presents and interprets survey responses gathered from November 2017 through February 2018. The survey focuses primarily on integrated library systems and library services platforms as the applications used to acquire, describe, manage, and provide access to their collections. It also assesses the quality of support given from the respective vendor and probes interest in migrating to new solutions and attitudes toward open source alternatives."
Library Systems Report 2018,article,https://americanlibrariesmagazine.org/2018/05/01/library-systems-report-2018/,5-1-2018,Library Automation; Discovery; Vendor Relations; Market Research,New technologies enable an expanded vision of library services
The Future of Libraries Report,article,https://future-of-libraries.mit.edu/,2-15-2017,Strategy; Management; ,"The Ad Hoc Task Force on the Future of Libraries was charged with developing a vision of how the MIT Libraries ought to evolve to best advance the creation, dissemination, and preservation of knowledge, not only to support MIT’s mission but also to position the Institute as a leader in the reinvention of research libraries. The Task Force, composed of faculty, staff, and students from across the Institute, sought input from the broader MIT community through open forums, group discussions, and the Idea Bank."
University of California Terminates Subscriptions With Elsevier,article,https://www.universityofcalifornia.edu/press-room/uc-terminates-subscriptions-worlds-largest-scientific-publisher-push-open-access-publicly,2-28-2019,Scholarly Publishing; Open Access; Vendor Negotiations; University of California,UC terminates subscriptions with world’s largest scientific publisher in push for open access to publicly funded research
The Future of Libraries Report,article,http://news.mit.edu/2019/open-access-task-force-releases-draft-recommendations-0318,03-18-2019,Open Access; Scholarly Publishing; Publisher Relations,"The Ad Hoc Task Force on Open Access to MIT’s Research is seeking community input on ways to support and increase the open sharing of MIT publications, data, software, and educational materials."
The Library is The Brand,article,https://scholarlykitchen.sspnet.org/2019/03/20/guest-post-the-library-is-the-brand/,3-20-2019,Marketing; Branding; Publisher Relations; Discovery,"Today’s academic library manages a complex set of online information resources, delivered by a combination of locally managed and externally provided services. It is vital to academic libraries that the digital library services we provide — whatever their source — carry clear university brand identity. This strengthens the library’s position in the university and enables it to secure the budget and political capital necessary to do its work. Both libraries and their vendors have much to gain from this approach to brand. Here is how Columbia University developed a more formal approach for Library branding and achieved success with some of our largest vendors."
Algorithmic Accountability: A Primer,article,https://datasociety.net/output/algorithmic-accountability-a-primer/,4-18-18,Ethics; Artificial Intelligence;,There are few consumer or civil rights protections that limit the types of data used to build data profiles or that require the auditing of algorithmic decision-making.
OSI Brief: Deceptive Publishing,article,http://osiglobal.org/2019/03/19/osi-brief-deceptive-publishing/,3-19-2019,Publishing; Publisher Relations; Open Access; Schoarly Communications,"Deceptive publishing (more commonly known as “predatory publishing”) is an important and troubling issue in scholarly communication. However, its parameters and seriousness are a matter of controversy, and there is not yet any consensus as to how big an issue it is, how fast it is growing, the variety of its manifestations, and what (if anything) can be done to combat it. The broad outlines of deceptive publishing, as described in this brief, are clearer than its exact details."
SPARC (the Scholarly Publishing and Academic Resources Coalition),website,https://sparcopen.org/,2007,Scholarly Publishing; Open Access; Open Educational Resources,"SPARC (the Scholarly Publishing and Academic Resources Coalition) works to enable the open sharing of research outputs and educational materials in order to democratize access to knowledge, accelerate discovery, and increase the return on our investment in research and education. As a catalyst for action, SPARC focuses on collaborating with other stakeholders—including authors, publishers, libraries, students, funders, policymakers and the public—to build on the opportunities created by the Internet, promoting changes to both infrastructure and culture needed to make open the default for research and education."
The Open Education Consortium: The Global Network for Open Education,website,https://www.oeconsortium.org/,2008,Open Educational Resources;,"The Open Education Consortium (OEC) is a non-profit, global, members-based network of open education institutions and organizations. OEC represents its members and provides advocacy and leadership around advancement of open education globally. OEC works with its members to build capacity to find, reuse, create and share Open Educational Resources (OER), develop open policy, create sustainable open education models, and enable international collaboration and innovation. OEC annually coordinates and hosts Open Education Week, the Open Education Global Conference, and Open Education Awards for Excellence. Collectively these efforts aim to bring high quality, inclusive education to all learners around the world."
Innovations Initiative of Urban Libraries Council (ULC),website,https://www.urbanlibraries.org/innovations,2010,Innovation;,"ULC's Innovations Initiative showcases out-of-the box thinking and new alignment of resources to further education for people of all ages, address race and social equity in our communities, build digital inclusion and digital literacy and enhance civic engagement for a strong democracy."
So You Want to Be A Librarian?,website,https://guides.lib.unc.edu/wanna-be-librarian,2019,Recruiting;,"This fun, colorful guide is aimed at high school students and undergraduates. But everyone can use this guide to learn more about the library profession and why libraries are awesome."
Design Thinking for Libraries,website,https://drive.google.com/drive/folders/18FN76ofJLHvRMpwqZQ1nMuV-AeGPvsZK,1-1-2016,,
Harvard Library Lab,website,https://osc.hul.harvard.edu/liblab/projects/,2010,Innovation;,
Library Technology Guides,website,https://librarytechnology.org/,2009,Library Automation; Information Technology; Integrated Library System; Discovery; Library Service Platforms; Vendor Relations; Market Research,Library Technology Guides provides comprehensive and objective information surrounding the many different types of technology products and services used by libraries. It covers the organizations that develop and support library-oriented software and systems. The site offers extensive databases and document repositories to assist libraries as they consider new systems and is an essential resource for professionals in the field to stay current with new developments and trends.
Library Carpentry,website,https://librarycarpentry.org/,2015,Information Technology; Software Development; Technical Services; Information Technology,Software and data skills for people working in library and information-related roles
The Carpentries,website,https://carpentries.org/,2015,Information Technology; Software Development; Technical Services; Information Technology,We teach foundational coding and data science skills to researchers worldwide.
Library Workflow Exchange,website,http://www.libraryworkflowexchange.org/,2015,Workflows; Library Technology; E-Resource Management; Acquisitions; Archives; Cataloging; Collection Development; Digital Humanities; Open Access; Preservation,"This site is designed to help librarians share workflows and best practices across institutions. If you are interested in contributing to the site, please let us know!"
University Librarians of Color,website,https://twitter.com/zanders/lists/ulc,2019,Diversity; Leadership; Academic Libraries,A Twitter List comprising collective commentary from academic research library leaders of color based in the United States
The Library Collective,website,http://www.thelibrarycollective.org/,2014,Professional Development; Academic Libraries; Conferences,Redefining library professional development since 2014.
Electronic Resources and Libraries,website,https://www.electroniclibrarian.org/,2010,e-Resource Management; Analytics; Conferences and Events,"Exploring trends, technologies, e-resource management and digital services in libraries."
Material Design,website,https://material.io/,2018,Design; Product Management; Web Development; Software Development,"Make beautiful products, faster. Material is a design system – backed by open-source code – that helps teams build digital experiences"
Apple Developer - Design Resources,website,https://developer.apple.com/design/resources/,2017,Design; Product Management; Web Development; Software Development,"Design apps quickly and accurately by using Sketch, Photoshop, and XD templates, guides, and other resources."
Facebook Design,website,https://facebook.design/,2018,Design; Product Management; Web Development; Software Development,"Collection of articles, videos, and resources made by designers at Facebook."
Library Education & Training,website,https://libguides.ctstatelibrary.org/dld/professional/othertraining,2015,Professional Development; Academic Libraries; Conferences,Professional Development and Continuing Education: Library Education & Training
Library UX,website,https://blog.libux.co/,2018,User Experience; Web Development; Design,Practical Design Thinking for Libraries
The Idealis,website,https://theidealis.org/,2014,Scholarly Communications; E-Resources Management,"The Idealis is a new kind of open access overlay journal, powered by PressForward and curated by librarian-experts working in the arena of scholarly communication. Each week, editors recruit the very best scholarly communication literature from across the Web, working with authors to make their research available, ensuring that librarians are connected to excellent research that’s relevant to their work."
The 'M' Word - Marketing Libraries,website,http://themwordblog.blogspot.com/,2010,Marketing,"Marketing news, tips and trends for libraries"
Letters to a Young Librarian,website,http://letterstoayounglibrarian.blogspot.com/,2011,Professional Development;,Advice to those who are new (or even not so new) to librarianship from someone who has been doing this work for a while now.
Google Suite Blog,website,https://gsuite.google.com/whatsnew/product-updates/,2012,GSuite; Professional Development; Information Technology,"Get the latest news about G Suite from the G Suite Updates blog and “What’s new in G Suite?” Help Center article. Check back here regularly to see what's new, or subscribe to receive blog updates by email or RSS feed."
Project Brief,template,https://coda.io/t/Project-Brief_tGtRWDfStAo,2019,Project Management; Design Thinking; Innovation,"The Project Brief is designed to include an entire Product Story in a single doc - from brainstorming, to task tracking, to having a retrospective. This doc grows as the project does, with users adding their own sections, views, and content as they see fit. This is the template we use at Coda to begin our projects, with some added content to show an example of what it could look like filled in."
New Hire Checklist,template,https://tettra.co/templates/hr-recruiting/new-hire-checklist-template/,2019,Recruiting; Talent Management; Human Resources; Teambuilding,"There’s a range of information new team members need, ranging from explicit knowledge (like the wifi password,) to implicit knowledge, (like cultural norms). A good hiring and onboarding process will teach new hires the full range of information. Here are some high-level categories to make sure you include:"
Decision Making,template,https://tettra.co/templates/decision-making/daci/,2019,Strategy; Management; Project Management,"DACI (pronounced day-see) is a framework that helps groups improve their decision making process velocity. It’s a system that was originally developed at Intuit and has gained momentum in fast-moving, cooperative companies that are systematically reinventing entire industries."
Candidate Interviews,template,https://slite.com/templates/candidate-interviews,2019,Recruiting; Talent Management; Human Resources; Teambuilding,Use this channel template for your candidate interview process. Get started by centralizing all candidate interview notes in this one channel and sorting them by the status of the candidate interview process.
Competitors Watch,template,https://slite.com/templates/competitors-watch,2019,Market Research; Management; Strategy,"Check out this channel template to centralize all your research, analysis and benchmarking on your competition. Notes will be automatically shared with other people on your team."
User Feedback,template,https://slite.com/templates/user-feedback,2019,User Research; Marketing; Customer Service; Strategy;,Talking to users is one of the most essential parts of building the right product for your users. What are you nailing? What should be improved?
Gamestorming: A Toolkit for Meetings,template,https://coda.io/t/Gamestorming-A-Toolkit-for-Meetings_tuMikflefAs,2019,Management; Design Thinking; Innovation; Project Management,"Gamestorming collects and makes recipes of emerging methods and approaches to work that have been germinating since the 1970s and are deeply intertwined with the burgeoning Information Age. Meetings give us the opportunity for outcomes unique to any other form of work. Take time, add to it ideas and put smart people in a room to discuss them and you’ve created the conditions to produce wonderfully emergent, brilliantly innovative and contagiously creative ideas. Meetings inspire us when they work. Too often, they don’t."
Betterment's Launch Marketing,template,https://coda.io/t/Betterments-Launch-Marketing-Template_tskehujftcc,2019,Marketing; Digital Scholarship; Project Management; Strategy,"This Product Marketing Template from maker Liz Derby organizes and calms the groundhog-day chaos of launching products. At its center is a feature called Tiers, based on the Pragmatic Marketing Framework, which categorizes launches by priority, and based on that, helps generate marketing playbooks. It also has a place for messaging and content strategy, a calendar view for execution, and a place for Product to flag at-risk features. So Product and Marketing stay on the same page throughout the launch, from kickoff to narrative learnings."
Repeating Checklists,template,https://coda.io/t/Repeating-Checklists-Subtasks_tpsNLDnKZ6J,2019,Productivity; Management; Professional Development,This doc allows you to track tasks and subtasks.
Marketer Starter Kit,template,https://coda.io/t/Marketer-Starter-Kit_tGSdL9MzBH3,2019,Marketing; Strategy; Management,"This marketer starter kit will help you acquire users and customers for your product or service. Your job involves moving deadlines, massive amounts of team communication and coordination, and asset creation involving multiple stakeholders (aka herding cats)."
Org Chart,template,https://coda.io/t/Org-Chart_tr75P5nUbCf,2019,Management; Organizational Development; Recruitment,"Every team and company has some structure in how people are organized. Use this handy org chart maker to keep track of your current structure and changes as your teams evolve. This template has three key features. The first feature is a handy section that enables you to quickly enter in new employees. The second feature is a look up of an individual employee so you can make changes as needed. The third feature is a set of different layouts to visualize the full organization. As always with Coda, you can extend and customize information that you want to track across an employee, team, or company!"
Customer Journey Map,template,https://www.milanote.com/templates/customer-journey-map-template,2019,User Research; Digital Scholarship; Web Development; Design Thinking,"Creating a customer journey map can help you to design better products and services. By drilling down into the pain points and frustrations during a customer's experience, you can quickly identify what needs to change, and brainstorm possible solutions."
Project Workflow,template,https://www.milanote.com/templates/project-workflow-template,2019,Project Managment; Design Thinking; Management,"A project workflow board helps to keep everybody updated on the project. In busy studios, having full visibility over the status of a project makes it much easier for everybody to stay on track and avoid missed deadlines."
All Hands Meeting Q&A Tradker,template,https://coda.io/t/Dory-All-Hands-Meeting-Q-A-Tracker_tRlEOimN6EU,2019,Management; Organizational Development; ,"Inspired by the ‘Dory’ all hands format started at Google. this template lets you solicit questions or topics for an all-hands meeting, with the opportunity for participants to vote up 👍 or down 👎 those topics."
Simple 1:1s,template,https://coda.io/t/Simple-1-1s_tHXLaMXIfMR,2019,Management; Organizational Development,"Sometimes it can be hard to keep notes on your professional development progress. This document makes it easier to track conversations with your manager, so you’re keeping them up-to-speed on your latest accomplishments and challenges. To-dos are organized by individual so each person can focus on only the areas they are working on."
Growth Experiments Tracker,template,https://trello.com/b/fkAIgE4v/growth-experiments,2019,Design Thinking; Project Management,
Product Catalog,template,https://airtable.com/templates/featured/expZvMLT9L6c4yeBX/product-catalog,2019,Product Management; e-Resource Management,"Use this template to keep your product catalog and order form tracker in the same place for easy access. Add product details, additional images, and other important product information and save time by keeping everything you need in one place."
Project Value,template,https://airtable.com/universe/expqit150o9Jb0mcI/project-value,2019,Project Management; Management; Strategy,Very simple and clear table to create a project value.
User Research,template,https://airtable.com/templates/featured/expwA47rLvwTu3SiF/user-research,2019,User Research; Design Thinking,"User research is the lifeblood of any product organization, and learning from your customers through a thoughtful UX research program is essential for product evolution. This user research template is a great way to to keep track of all your research in one place, from user outreach, to scheduling usability testing sessions and customer interviews, to synthesizing your findings into a research report, to integrating with the product development process and suggesting features to address user needs."
Tasks and Issues,template,https://www.notion.so/Tasks-Issues-bbb80617e6af40c6a1b4f9ea8ed9612d,2019,Project Management; Productivity; Management,"A no-frills task board where each team member can easily create new tasks, see which tasks they're assigned to, and monitor how things are progressing."
